,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm)
94,5.6,2.7,4.2,1.3
18,5.7,3.8,1.7,0.3
101,5.8,2.7,5.1,1.9
38,4.4,3.0,1.3,0.2
71,6.1,2.8,4.0,1.3
10,5.4,3.7,1.5,0.2
107,7.3,2.9,6.3,1.8
109,7.2,3.6,6.1,2.5
58,6.6,2.9,4.6,1.3
55,5.7,2.8,4.5,1.3
91,6.1,3.0,4.6,1.4
59,5.2,2.7,3.9,1.4
7,5.0,3.4,1.5,0.2
51,6.4,3.2,4.5,1.5
121,5.6,2.8,4.9,2.0
46,5.1,3.8,1.6,0.2
78,6.0,2.9,4.5,1.5
140,6.7,3.1,5.6,2.4
137,6.4,3.1,5.5,1.8
62,6.0,2.2,4.0,1.0
40,5.0,3.5,1.3,0.3
96,5.7,2.9,4.2,1.3
37,4.9,3.6,1.4,0.1
30,4.8,3.1,1.6,0.2
28,5.2,3.4,1.4,0.2
6,4.6,3.4,1.4,0.3
48,5.3,3.7,1.5,0.2
79,5.7,2.6,3.5,1.0
83,6.0,2.7,5.1,1.6
50,7.0,3.2,4.7,1.4
118,7.7,2.6,6.9,2.3
124,6.7,3.3,5.7,2.1
15,5.7,4.4,1.5,0.4
81,5.5,2.4,3.7,1.0
24,4.8,3.4,1.9,0.2
84,5.4,3.0,4.5,1.5
13,4.3,3.0,1.1,0.1
119,6.0,2.2,5.0,1.5
129,7.2,3.0,5.8,1.6
144,6.7,3.3,5.7,2.5
134,6.1,2.6,5.6,1.4
113,5.7,2.5,5.0,2.0
126,6.2,2.8,4.8,1.8
23,5.1,3.3,1.7,0.5
125,7.2,3.2,6.0,1.8
97,6.2,2.9,4.3,1.3
47,4.6,3.2,1.4,0.2
8,4.4,2.9,1.4,0.2
31,5.4,3.4,1.5,0.4
105,7.6,3.0,6.6,2.1
